Date,Open,High,Low,Close,Volume,Adj Close,Year,Quarter
11/2/2015,17.040001,19.73,15.46,16.51,9108700,16.51,2015,
10/1/2015,15.83,22.799999,15.09,17.23,10839000,17.23,2015,Q3
9/1/2015,18.17,19.33,14.4,15.27,10003800,15.27,2015,
8/3/2015,20.25,20.370001,13.5,19.33,12131600,19.33,2015,
7/1/2015,33.700001,33.790001,20.17,20.49,10143400,20.49,2015,Q2
6/1/2015,33.080002,36.389999,31.799999,33.599998,5209200,33.599998,2015,
5/1/2015,37.919998,39.150002,31.92,32.990002,5664500,32.990002,2015,
4/1/2015,31,38.490002,30.950001,37.91,7792700,37.91,2015,Q1
3/2/2015,33.830002,41.57,29.309999,30.9,12875500,30.9,2015,
2/2/2015,30.9,40.23,30.309999,33.830002,10960300,33.830002,2015,
1/2/2015,32.779999,33.490002,26.139999,30.02,8054700,30.02,2014,Q4
12/1/2014,40.310001,42.349998,24.129999,33,7824200,33,2014,
11/3/2014,61.080002,63.630001,41.549999,41.77,3205000,41.77,2014,
10/1/2014,77.93,78.989998,53.110001,61.240002,3853600,61.240002,2014,Q3
9/2/2014,92.400002,92.629997,76.279999,77.550003,2187300,77.550003,2014,
8/1/2014,87.879997,92.919998,82,92.660004,1759400,92.660004,2014,
7/1/2014,80.580002,91,78.080002,88.489998,2111100,88.489998,2014,Q2
6/2/2014,71.900002,82.349998,71.110001,80.25,1263600,80.25,2014,
5/1/2014,73.309998,74.849998,68.459999,71.849998,1307300,71.849998,2014,
4/1/2014,69.650002,75.900002,69.300003,73.720001,1595700,73.720001,2014,Q1
3/3/2014,68.830002,72.32,66.230003,69.389999,1523600,69.389999,2014,
2/3/2014,58.119999,69.089996,54.93,68.709999,2254600,68.709999,2014,
1/2/2014,61.700001,62.209999,56.59,58.380001,1817800,58.380001,2013,Q4
12/2/2013,60.02,62.32,56.400002,61.869999,1865000,61.869999,2013,
11/1/2013,66.839996,68.139999,59.450001,60.400002,2245000,60.400002,2013,
10/1/2013,59.860001,70.57,59.830002,66.889999,2976000,66.889999,2013,Q3
9/3/2013,51.459999,60.650002,50.540001,59.849998,1957500,59.849998,2013,
8/1/2013,52.049999,53.57,48.580002,50.470001,1196300,50.470001,2013,
7/1/2013,46.419998,52.209999,46.130001,51.470001,1721500,51.470001,2013,Q2
6/3/2013,46.240002,49.66,44.209999,46.09,1577500,46.09,2013,
5/1/2013,44.060001,48.32,42.439999,46.07,1872000,46.07,2013,
4/1/2013,50.66,50.959999,43.41,44.5,1969400,44.5,2013,Q1
3/1/2013,48.299999,52.02,45.68,50.84,1563300,50.84,2013,
2/1/2013,47.799999,50.810001,46.970001,48.700001,2087600,48.700001,2013,
1/2/2013,44.439999,49.119999,43.599998,47.580002,1433200,47.580002,2012,Q4
