Season,TeamA,TeamAState,TeamB,TeamBState,HomeScore,VisitorScore,Margin,Distance
12/14/2013,Navy,Maryland,Army,New York,34,7,27,205.4
12/7/2013,Connecticut,Connecticut,Memphis,Tennessee,45,10,35,1186.2
12/7/2013,Rutgers,New Jersey,South Florida,Florida,31,6,25,1117.2
12/7/2013,Baylor,Texas,Texas,Texas,30,10,20,100
12/7/2013,South Alabama,Alabama,UL-Lafayette,Louisiana,30,8,22,389.3
12/7/2013,S-M-U,Texas,U-C-F,Florida,13,17,-4,1366
12/7/2013,Oklahoma State,Oklahoma,Oklahoma,Oklahoma,24,33,-9,100
12/7/2013,Rice,Texas,Marshall,Tennessee,41,24,17,916.9
12/7/2013,Auburn,Alabama,Missouri,Missouri,59,42,17,595.4
12/7/2013,Florida State,Florida,Duke,North Carolina,45,7,38,656.8
12/7/2013,Arizona State,Arizona,Stanford,California,14,38,-24,398
12/7/2013,Michigan State,Michigan,Ohio State,Ohio,34,24,10,367
12/7/2013,Fresno State,California,Utah State,Utah,24,17,7,793.2
12/6/2013,Northern Illinois,Illinois,Bowling Green,Kentucky,27,47,-20,411.9
12/5/2013,Cincinnati,Ohio,Louisville,Kentucky,24,31,-7,248.9
11/30/2013,Michigan,Michigan,Ohio State,Ohio,41,42,-1,367
11/30/2013,Syracuse,New York,Boston College,Massachusetts,34,31,3,203.2
11/30/2013,No Carolina State,North Carolina,Maryland,Maryland,21,41,-20,314.4
11/30/2013,Vanderbilt,Tennessee,Wake Forest,North Carolina,23,21,2,553.8
11/30/2013,North Carolina,North Carolina,Duke,North Carolina,25,27,-2,100
11/30/2013,West Virginia,West Virginia,Iowa State,Iowa,44,52,-8,857.4
11/30/2013,Illinois,Illinois,Northwestern,Illinois,34,37,-3,100
11/30/2013,Indiana,Indiana,Purdue,Indiana,56,36,20,100
11/30/2013,Connecticut,Connecticut,Rutgers,New Jersey,28,17,11,166.7
11/30/2013,Kentucky,Kentucky,Tennessee,Tennessee,14,27,-13,268.5
11/30/2013,Michigan State,Michigan,Minnesota,Minnesota,14,3,11,702.2
11/30/2013,Memphis,Tennessee,Temple,Pennsylvania,21,41,-20,820
11/30/2013,U-A-B,Alabama,Southern Miss,Mississippi,27,62,-35,157.9
11/30/2013,Georgia State,Georgia,South Alabama,Alabama,17,38,-21,277.8
11/30/2013,Utah State,Utah,Wyoming,Wyoming,35,7,28,482.4
11/30/2013,Utah,Utah,Colorado,Colorado,24,17,7,429
11/30/2013,Nevada-Reno,Nevada,Brigham Young,Utah,23,28,-5,476.7
11/30/2013,Rice,Texas,Tulane,Louisiana,17,13,4,570.2
11/30/2013,Georgia Tech,Georgia,Georgia,Georgia,34,41,-7,100
11/30/2013,Missouri,Missouri,Texas A+M,Texas,28,21,7,724.5
11/30/2013,Virginia,Virginia,Virginia Tech,Virginia,6,16,-10,100
11/30/2013,Auburn,Alabama,Alabama,Alabama,34,28,6,100
11/30/2013,Boise State,Montana,New Mexico,New Mexico,45,17,28,1181.7
11/30/2013,Texas Christian,Texas,Baylor,Texas,38,41,-3,100
11/30/2013,Florida,Florida,Florida State,Florida,7,37,-30,100
11/30/2013,Colorado State,Colorado,Air Force,Colorado,58,13,45,100
11/30/2013,Kansas,Kansas,Kansas State,Kansas,10,31,-21,100
11/30/2013,Wisconsin,Wisconsin,Penn State,Pennsylvania,24,31,-7,777.1
11/30/2013,Texas-San Antonio,Texas,Louisiana Tech,Louisiana,30,10,20,570.2
11/30/2013,New Mexico State,New Mexico,Idaho,Idaho,24,16,8,1018.7
11/30/2013,Nevada-Las Vegas,Nevada,San Diego State,California,45,19,26,556.6
11/30/2013,Western Kentucky,Kentucky,Arkansas State,Arkansas,34,31,3,547.2
11/30/2013,Tulsa,Oklahoma,North Texas,Texas,10,42,-32,341.4
11/30/2013,UL-Lafayette,Louisiana,UL-Monroe,Louisiana,28,31,-3,100
11/30/2013,Middle Tennessee,Tennessee,UTEP,Texas,48,17,31,916.9
11/30/2013,South Carolina,South Carolina,Clemson,South Carolina,31,17,14,100
11/30/2013,Southern Cal,California,U.C.L.A.,California,14,35,-21,100
11/30/2013,Stanford,California,Notre Dame,Indiana,27,20,7,2232.2
11/30/2013,Arizona State,Arizona,Arizona,Arizona,58,21,37,100
11/30/2013,Hawaii,Hawaii,Army,New York,49,42,7,4899
11/29/2013,Nebraska,Nebraska,Iowa,Iowa,17,38,-21,417.2
11/29/2013,Akron,Ohio,Toledo,Ohio,31,29,2,100
11/29/2013,Ball State,Indiana,Miami-Ohio,Ohio,55,14,41,240.7
11/29/2013,Central Michigan,Michigan,Eastern Michigan,Michigan,42,10,32,100
11/29/2013,Ohio,Ohio,Massachusetts,Massachusetts,51,23,28,738.3
11/29/2013,Marshall,Tennessee,East Carolina,North Carolina,59,28,31,553.8
11/29/2013,Buffalo,New York,Bowling Green,Kentucky,7,24,-17,700.1
11/29/2013,Louisiana State,Louisiana,Arkansas,Arkansas,31,27,4,347.7
11/29/2013,Troy,Alabama,Texas State,Texas,42,28,14,829.8
11/29/2013,Florida Atlantic,Florida,Florida Intl,Florida,21,6,15,100
11/29/2013,U-C-F,Florida,South Florida,Florida,23,20,3,100
11/29/2013,San Jose State,California,Fresno State,California,62,52,10,100
11/29/2013,Pittsburgh,Pennsylvania,Miami-Florida,Florida,31,41,-10,1126.5
11/29/2013,Washington,Washington,Washington State,Washington,27,17,10,100
11/29/2013,Houston,Texas,S-M-U,Texas,34,0,34,100
11/29/2013,Oregon,Oregon,Oregon State,Oregon,36,35,1,100
